GA00071225394	GA00974685019
GA00810006862	GA00917019215
GA00810023112	
GA00810033622	
GA00810034882	
GA00810037342	
GA00810059672	
GA00810093382	
GA00810094532	
GA00810098252	
GA00810105372	
GA00810130822	
GA00810145102	GA00932946823
GA00810182482	
GA00810200162	
GA00810202572	
GA00810215542	
GA00810257792	
GA00810274042	GA00988975583
GA00810296372	
GA00810324562	
GA00810326972	GA00979904541
GA00810329432	
GA00810359862	
GA00810363142	GA00953506955
GA00810387882	GA00833888692
GA00810392312	GA00910528610
GA00810393572	
GA00810412402	GA00876734702
GA00810431172	
GA00810432322	
GA00810438452	GA00989117246
GA00810441682	
GA00810463902	GA00925509485
GA00810483822	GA00913200764
GA00810490772	GA00945797665
GA00810499362	
GA00810547472	GA00989134558
GA00810556722	GA00939511148
GA00810570512	
GA00810574232	GA00986342559
GA00810582332	
GA00810584742	
GA00810647132	
GA00810651512	GA00939459480
GA00810684402	
GA00810703342	GA00989205765
GA00810723262	GA00979295049
GA00810724412	GA00967225584
GA00810733772	
GA00810838302	
GA00810855762	GA00988850594
GA00810859482	GA00959390851
GA00810873272	GA00889230622
GA00810876832	
GA00810894342	
GA00810902612	
GA00810926252	GA00987742690
GA00810930632	
GA00810969652	
GA00810985852	GA00991442588
GA00811012572	GA00930436852
GA00811025542	GA00940235073
GA00811033642	GA00965415386
GA00811060402	
GA00811102822	
GA00811104132	GA00989146726
GA00811108952	
GA00811114642	GA00989067575
GA00811124052	
GA00811141402	
GA00811146382	GA00989186159
GA00811162582	GA00811102822
GA00811167452	
GA00811169862	GA00988594687
GA00811176702	
GA00811187372	GA00980111741
GA00811217972	GA00824769192
GA00811230502	
GA00811235482	
GA00811243582	
GA00811251682	
GA00811277622	
GA00811280852	GA00979782985
GA00811320862	GA00934657144
GA00811349372	
GA00811359882	
GA00811378542	
GA00811404322	GA00989275798
GA00811410012	
GA00811413682	GA00930185930
GA00811445312	
GA00811449032	GA00983929990
GA00811451002	GA00989265490
GA00811480282	
GA00811489972	GA00926204335
GA00811576662	GA00988879290
GA00811591602	GA00989255045
GA00811598992	
GA00811634182	
GA00811651532	GA00819894302
GA00811665762	GA00889031492
GA00811672602	GA00988910147
GA00811673862	
GA00811747912	
GA00811767832	GA00987659505
GA00811784192	GA00988807362
GA00811793442	GA00882578402
GA00811799572	
GA00811833452	
GA00811835862	GA00978675654
GA00811853372	GA00989536591
GA00811888672	GA00982785693
GA00811898082	
GA00811910732	GA00991663843
GA00811943622	
GA00811965952	GA00941504604
GA00811981052	
GA00811991562	GA00944899081
GA00812013742	
